Text version of loaded midi tracks
Midi events are: Cumulative-midi-time time status data1 data2 data2
Cumulative midi time starts with the first note-on event, if there is one.
The status byte is printed in hex.  All others are decimal integers.

Number of tracks: 1

Track 0: 2347 events (skipping sysex)
         0    962 90  70  76   0
       278    278 B0  64 127   0
       546    268 80  70  64   0
       892    346 B0  64   0   0
       922     30 90  70  68   0
      1008     86 90  70  71   0
      1142    134 90  70  66   0
      1652    510 B0  64 127   0
      1766    114 80  70  64   0
      1998    232 90  70  57   0
      2102    104 90  70  67   0
      2142     40 B0  64   0   0
      2246    104 90  70  82   0
      2342     96 B0  64 127   0
      2352     10 80  70  64   0
      2554    202 90  70  65   0
      2670    116 90  70  69   0
      2726     56 B0  64   0   0
      2804     78 90  70  82   0
      2900     96 B0  64 127   0
      2910     10 80  70  64   0
      3092    182 90  70  60   0
      3216    124 90  70  68   0
      3236     20 B0  64   0   0
      3322     86 90  70  78   0
      3446    124 B0  64 127   0
      3446      0 80  70  64   0
      3638    192 90  70  53   0
      3774    136 90  70  62   0
      3908    134 80  70  64   0
      3918     10 90  70  75   0
      3926      8 90  46  57   0
      3926      0 B0  64   0   0
      3994     68 80  70  64   0
      4022     28 80  46  64   0
      4196    174 90  74  51   0
      4206     10 90  68  40   0
      4234     28 90  65  34   0
      4234      0 90  58  31   0
      4282     48 80  65  64   0
      4282      0 80  58  64   0
      4310     28 90  75  55   0
      4320     10 80  68  64   0
      4378     58 B0  64 127   0
      4398     20 80  74  64   0
      4454     56 90  77  65   0
      4454      0 90  74  56   0
      4474     20 90  65  41   0
      4474      0 90  58  37   0
      4484     10 90  68  33   0
      4484      0 80  75  64   0
      4522     38 80  65  64   0
      4522      0 80  58  64   0
      4532     10 80  68  64   0
      4550     18 80  77  64   0
      4550      0 80  74  64   0
      4724    174 90  70  64   0
      4734     10 90  51  51   0
      4734      0 B0  64   0   0
      4762     28 80  70  64   0
      4830     68 80  51  64   0
      5002    172 90  75  49   0
      5002      0 90  63  43   0
      5002      0 90  58  39   0
      5022     20 90  67  36   0
      5060     38 80  67  64   0
      5088     28 B0  64 127   0
      5098     10 80  63  64   0
      5098      0 80  58  64   0
      5118     20 90  77  57   0
      5252    134 90  79  68   0
      5252      0 90  75  59   0
      5270     18 90  63  49   0
      5270      0 90  58  45   0
      5270      0 90  67  39   0
      5290     20 80  77  64   0
      5318     28 80  67  64   0
      5318      0 80  63  64   0
      5318      0 80  58  64   0
      5338     20 80  79  64   0
      5338      0 80  75  64   0
      5376     38 B0  64   0   0
      5510    134 90  70  71   0
      5520     10 90  50  50   0
      5588     68 80  70  64   0
      5616     28 80  50  64   0
      5780    164 90  77  54   0
      5790     10 90  65  39   0
      5790      0 90  58  35   0
      5808     18 90  68  32   0
      5856     48 80  68  64   0
      5886     30 90  79  62   0
      5894      8 80  65  64   0
      5894      0 80  58  64   0
      5982     88 80  77  64   0
      6010     28 90  80  65   0
      6010      0 90  77  56   0
      6030     20 B0  64 127   0
      6030      0 80  79  64   0
      6048     18 90  65  45   0
      6048      0 90  58  41   0
      6058     10 90  68  45   0
      6106     48 80  68  64   0
      6106      0 80  80  64   0
      6106      0 80  77  64   0
      6126     20 80  65  64   0
      6126      0 80  58  64   0
      6240    114 B0  64   0   0
      6288     48 90  51  47   0
      6298     10 90  82  69   0
      6298      0 90  73  57   0
      6298      0 90  79  60   0
      6538    240 B0  64 127   0
      6558     20 90  61  50   0
      6558      0 90  58  46   0
      6586     28 80  82  64   0
      6586      0 80  73  64   0
      6586      0 80  79  64   0
      6586      0 80  51  64   0
      6586      0 90  67  37   0
      6614     28 80  61  64   0
      6614      0 80  58  64   0
      6634     20 80  67  64   0
      6806    172 90  52  55   0
      6816     10 90  82  63   0
      6816      0 90  73  52   0
      6816      0 90  79  54   0
      6912     96 B0  64   0   0
      6922     10 90  82  66   0
      6922      0 90  73  55   0
      6922      0 90  79  57   0
      6970     48 80  52  64   0
      7056     86 90  53  51   0
      7066     10 90  82  79   0
      7066      0 90  73  66   0
      7066      0 90  79  68   0
      7142     76 B0  64 127   0
      7200     58 80  53  64   0
      7200      0 80  82  64   0
      7344    144 90  84  59   0
      7354     10 90  56  46   0
      7374     20 90  65  30   0
      7422     48 80  65  64   0
      7430      8 80  56  64   0
      7450     20 90  82  59   0
      7518     68 80  84  64   0
      7574     56 90  80  58   0
      7574      0 90  72  50   0
      7594     20 B0  64   0   0
      7594      0 80  82  64   0
      7594      0 80  73  64   0
      7594      0 80  79  64   0
      7622     28 90  44  33   0
      7652     30 80  80  64   0
      7652      0 80  72  64   0
      7670     18 80  44  64   0
      7862    192 90  80  56   0
      7862      0 90  71  48   0
      7862      0 90  46  44   0
      7910     48 B0  64 127   0
      7910      0 80  80  64   0
      7910      0 80  46  64   0
      8112    202 90  55  40   0
      8122     10 90  82  41   0
      8180     58 80  55  64   0
      8246     66 90  80  45   0
      8256     10 80  82  64   0
      8372    116 80  80  64   0
      8372      0 80  71  64   0
      8382     10 90  79  35   0
      8382      0 90  70  30   0
      8400     18 90  55  30   0
      8410     10 90  63  29   0
      8430     20 80  79  64   0
      8430      0 80  70  64   0
      8448     18 80  55  64   0
      8458     10 80  63  64   0
      8544     86 B0  64   0   0
      8670    126 90  79  43   0
      8670      0 90  70  37   0
      8698     28 90  46  22   0
      8726     28 80  79  64   0
      8756     30 80  46  64   0
      8822     66 B0  64 127   0
      8948    126 90  53  36   0
      8948      0 90  80  34   0
      9006     58 80  53  64   0
      9062     56 90  79  45   0
      9062      0 80  80  64   0
      9168    106 80  79  64   0
      9168      0 80  70  64   0
      9178     10 90  77  46   0
      9178      0 90  68  40   0
      9216     38 80  77  64   0
      9216      0 80  68  64   0
      9216      0 90  62  32   0
      9226     10 90  58  26   0
      9264     38 80  62  64   0
      9274     10 80  58  64   0
      9380    106 B0  64   0   0
      9466     86 90  77  49   0
      9466      0 90  68  42   0
      9466      0 90  51  32   0
      9534     68 80  77  64   0
      9590     56 80  51  64   0
      9610     20 B0  64 127   0
      9734    124 90  79  39   0
      9744     10 90  58  39   0
      9792     48 80  58  64   0
      9840     48 90  77  41   0
      9850     10 80  79  64   0
      9966    116 90  75  47   0
      9966      0 90  67  40   0
      9966      0 80  77  64   0
      9966      0 80  68  64   0
      9994     28 90  63  37   0
     10004     10 80  75  64   0
     10004      0 80  67  64   0
     10014     10 90  58  24   0
     10042     28 80  63  64   0
     10052     10 80  58  64   0
     10166    114 B0  64   0   0
     10234     68 90  70  75   0
     10244     10 90  46  52   0
     10310     66 80  70  64   0
     10330     20 80  46  64   0
     10502    172 90  74  53   0
     10522     20 90  65  40   0
     10522      0 90  58  36   0
     10532     10 B0  64 127   0
     10532      0 90  68  27   0
     10570     38 80  65  64   0
     10570      0 80  58  64   0
     10580     10 80  68  64   0
     10628     48 90  75  61   0
     10734    106 80  74  64   0
     10752     18 90  77  67   0
     10752      0 90  74  58   0
     10772     20 90  68  40   0
     10782     10 80  75  64   0
     10782      0 90  65  44   0
     10782      0 90  58  40   0
     10820     38 80  65  64   0
     10820      0 80  58  64   0
     10820      0 80  68  64   0
     10830     10 80  77  64   0
     10830      0 80  74  64   0
     10992    162 B0  64   0   0
     11022     30 90  70  74   0
     11040     18 90  51  48   0
     11078     38 80  70  64   0
     11078      0 80  51  64   0
     11300    222 90  75  60   0
     11310     10 90  63  32   0
     11310      0 90  58  29   0
     11338     28 B0  64 127   0
     11386     48 80  63  64   0
     11386      0 80  58  64   0
     11414     28 90  77  55   0
     11530    116 80  75  64   0
